日付,場,レース,枠番,選手情報,当地勝率,当地2連対率,当地3連対率,モーター2連対率
2026-07-23,丸亀,第3R,1号艇,3516 / B1 吉原 聖人 広島/広島 58歳/51.5kg,11.11,22.22,-,51.5
2026-07-23,丸亀,第3R,6号艇,5452 / B2 上馬場 風依 広島/広島 20歳/52.2kg,54.55,81.82,-,52.2
2026-07-23,丸亀,第4R,2号艇,4516 / A1 野口 勝弘 愛知/愛知 39歳/50.0kg,60.00,80.00,-,50.0
2026-07-23,丸亀,第4R,1号艇,5177 / B1 松井 貫太 福岡/福岡 30歳/51.5kg,20.00,30.00,-,51.5
2026-07-23,丸亀,第4R,4号艇,3772 / B1 一柳 和孝 埼玉/埼玉 52歳/54.2kg,0.00,0.00,-,54.2
2026-07-23,丸亀,第5R,3号艇,3857 / B1 阿波 勝哉 東京/東京 53歳/55.4kg,27.27,63.64,-,55.4
2026-07-23,丸亀,第5R,6号艇,4537 / A1 渡邉 和将 岡山/岡山 36歳/51.0kg,50.00,90.00,-,51.0
2026-07-23,丸亀,第5R,4号艇,4631 / B1 新井 英孝 大阪/大阪 39歳/52.1kg,0.00,0.00,-,52.1
2026-07-23,丸亀,第5R,1号艇,4861 / A2 田中 宏樹 福岡/宮崎 38歳/52.0kg,50.00,87.50,-,52.0
2026-07-23,丸亀,第6R,4号艇,4103 / B1 山崎 善庸 埼玉/東京 47歳/52.8kg,0.00,0.00,-,52.8
2026-07-23,丸亀,第6R,3号艇,3212 / B1 亀本 勇樹 広島/広島 64歳/57.8kg,25.00,50.00,-,57.8
2026-07-23,丸亀,第6R,6号艇,4337 / A1 平本 真之 愛知/愛知 42歳/53.3kg,11.11,22.22,-,53.3
2026-07-23,丸亀,第7R,5号艇,5037 / B1 田頭 虎親 香川/兵庫 28歳/52.0kg,0.00,0.00,-,52.0
2026-07-23,丸亀,第7R,1号艇,4302 / A1 西野 翔太 広島/広島 43歳/52.9kg,25.00,25.00,-,52.9
2026-07-23,丸亀,第7R,6号艇,4944 / B1 田代 達也 東京/東京 35歳/52.3kg,20.00,40.00,-,52.3
2026-07-23,丸亀,第8R,2号艇,4314 / A2 青木 幸太郎 福岡/福岡 42歳/51.5kg,0.00,0.00,-,51.5
2026-07-23,丸亀,第8R,1号艇,4186 / B1 小川 時光 埼玉/埼玉 45歳/55.2kg,40.00,50.00,-,55.2
2026-07-23,丸亀,第8R,5号艇,4788 / A2 小池 哲也 大阪/大阪 37歳/52.2kg,0.00,0.00,-,52.2
2026-07-23,丸亀,第8R,6号艇,4169 / B1 多田 有佑 東京/山形 43歳/52.0kg,0.00,0.00,-,52.0
2026-07-23,丸亀,第9R,5号艇,4189 / A1 川上 剛 福岡/福岡 45歳/52.7kg,0.00,0.00,-,52.7
2026-07-23,丸亀,第9R,6号艇,4164 / B1 岩永 節也 長崎/長崎 44歳/52.0kg,45.45,63.64,-,52.0
2026-07-23,丸亀,第9R,1号艇,4214 / B1 林 祐介 岡山/岡山 41歳/55.9kg,0.00,0.00,-,55.9
2026-07-23,丸亀,第9R,4号艇,5177 / B1 松井 貫太 福岡/福岡 30歳/51.5kg,20.00,30.00,-,51.5
2026-07-23,丸亀,第10R,3号艇,4471 / A1 新田 泰章 広島/広島 39歳/52.1kg,100.00,100.00,-,52.1
2026-07-23,丸亀,第10R,2号艇,3907 / B1 村越 篤 香川/愛媛 48歳/54.2kg,30.00,50.00,-,54.2
2026-07-23,丸亀,第10R,6号艇,3546 / B1 中里 昌志 埼玉/埼玉 57歳/52.0kg,0.00,33.33,-,52.0
2026-07-23,丸亀,第11R,1号艇,4348 / A2 宮崎 奨 香川/香川 40歳/53.4kg,0.00,22.22,-,53.4
2026-07-23,丸亀,第11R,4号艇,4516 / A1 野口 勝弘 愛知/愛知 39歳/50.0kg,60.00,80.00,-,50.0
2026-07-23,丸亀,第11R,2号艇,4394 / A2 永嶋 裕一 福岡/福岡 40歳/53.1kg,40.00,60.00,-,53.1
2026-07-23,丸亀,第12R,3号艇,4319 / A2 三宅 潤 大阪/大阪 41歳/52.7kg,0.00,0.00,-,52.7
2026-07-23,丸亀,第12R,4号艇,4654 / A1 篠田 優也 兵庫/兵庫 40歳/52.6kg,0.00,0.00,-,52.6
2026-07-23,丸亀,第12R,5号艇,4152 / A2 深水 慎一郎 東京/神奈川 46歳/52.0kg,25.00,25.00,-,52.0
2026-07-23,丸亀,第12R,1号艇,4361 / A1 柳生 泰二 山口/山口 41歳/52.0kg,33.33,33.33,-,52.0
2026-07-23,丸亀,第12R,2号艇,4302 / A1 西野 翔太 広島/広島 43歳/52.9kg,25.00,25.00,-,52.9
2026-07-23,芦屋,第6R,6号艇,4120 / A2 柘植 政浩 滋賀/滋賀 45歳/51.5kg,38.10,60.32,-,51.5
2026-07-23,芦屋,第7R,5号艇,5283 / B2 植木 美帆 東京/東京 22歳/47.9kg,34.38,51.56,-,47.9
2026-07-23,芦屋,第8R,5号艇,3898 / A1 平田 忠則 福岡/福岡 49歳/53.5kg,36.49,52.70,-,53.5
2026-07-23,芦屋,第8R,4号艇,5227 / B2 川原 愛未 福岡/福岡 24歳/51.4kg,34.85,53.03,-,51.4
2026-07-23,芦屋,第9R,3号艇,3616 / B1 中村 真 福岡/福岡 53歳/53.5kg,25.00,39.71,-,53.5
2026-07-23,芦屋,第9R,6号艇,3268 / B1 森 竜也 三重/三重 61歳/52.9kg,35.94,46.88,-,52.9
2026-07-23,芦屋,第9R,2号艇,4373 / A1 若狭 奈美子 岡山/岡山 38歳/47.0kg,50.67,74.67,-,47.0
2026-07-23,芦屋,第10R,5号艇,4694 / B1 高田 綾 福岡/福岡 41歳/45.0kg,38.16,52.63,-,45.0
2026-07-23,芦屋,第10R,4号艇,4879 / B1 山崎 鉄平 佐賀/佐賀 31歳/52.1kg,31.82,48.48,-,52.1
2026-07-23,芦屋,第10R,1号艇,3584 / B1 佐々木 英樹 広島/広島 53歳/53.8kg,33.85,49.23,-,53.8
2026-07-23,芦屋,第10R,3号艇,4420 / A2 津久井 拓也 群馬/栃木 38歳/53.1kg,26.98,41.27,-,53.1
2026-07-23,芦屋,第11R,5号艇,4416 / B1 三宅 健太 広島/広島 39歳/52.9kg,43.66,59.15,-,52.9
2026-07-23,芦屋,第11R,1号艇,3746 / A2 岡瀬 正人 岡山/岡山 51歳/52.0kg,30.00,48.33,-,52.0
2026-07-23,芦屋,第11R,2号艇,4120 / A2 柘植 政浩 滋賀/滋賀 45歳/51.5kg,38.10,60.32,-,51.5
2026-07-23,芦屋,第12R,4号艇,3623 / A1 深川 真二 佐賀/佐賀 52歳/51.0kg,26.47,44.12,-,51.0
2026-07-23,芦屋,第12R,2号艇,3898 / A1 平田 忠則 福岡/福岡 49歳/53.5kg,36.49,52.70,-,53.5
2026-07-23,芦屋,第12R,1号艇,4352 / A1 下條 雄太郎 長崎/長崎 40歳/52.0kg,31.15,45.90,-,52.0
2026-07-23,福岡,第1R,6号艇,5298 / A1 水谷 理人 香川/香川 24歳/52.0kg,43.84,56.16,-,52.0
2026-07-23,福岡,第1R,4号艇,5092 / A2 篠原 晟弥 福岡/福岡 25歳/52.0kg,31.65,46.84,-,52.0
2026-07-23,福岡,第1R,2号艇,5222 / A1 津田 陸翔 広島/広島 25歳/52.0kg,41.56,62.34,-,52.0
2026-07-23,福岡,第2R,1号艇,5212 / A2 西川 拓利 福岡/福岡 27歳/52.0kg,37.66,51.95,-,52.0
2026-07-23,福岡,第2R,6号艇,5012 / B1 加倉 侑征 福岡/福岡 29歳/52.0kg,30.38,43.04,-,52.0
2026-07-23,福岡,第2R,5号艇,5064 / A1 品川 二千翔 山口/山口 28歳/52.0kg,44.44,59.26,-,52.0
2026-07-23,福岡,第3R,5号艇,4966 / B1 田川 大貴 長崎/長崎 28歳/53.9kg,38.27,53.09,-,53.9
2026-07-23,福岡,第3R,2号艇,5217 / A1 藤原 碧生 岡山/岡山 26歳/52.3kg,35.37,53.66,-,52.3
2026-07-23,福岡,第3R,6号艇,5145 / A2 島川 海輝 山口/山口 23歳/53.2kg,32.00,46.67,-,53.2
2026-07-23,福岡,第3R,4号艇,5238 / A2 笹木 香吾 山口/山口 26歳/52.6kg,36.99,58.90,-,52.6
2026-07-23,福岡,第4R,2号艇,5257 / A1 西丸 侑太朗 香川/香川 22歳/52.0kg,41.03,52.56,-,52.0
2026-07-23,福岡,第4R,6号艇,5028 / A1 原田 才一郎 福岡/福岡 29歳/52.0kg,37.68,57.97,-,52.0
2026-07-23,福岡,第4R,4号艇,5189 / A2 藤原 早菜 岡山/岡山 25歳/45.5kg,32.43,51.35,-,45.5
2026-07-23,福岡,第4R,5号艇,5218 / A1 山田 理央 香川/愛媛 26歳/45.5kg,42.50,61.25,-,45.5
2026-07-23,福岡,第5R,2号艇,5009 / A2 大賀 龍之介 福岡/福岡 29歳/54.8kg,34.62,58.97,-,54.8
2026-07-23,福岡,第5R,4号艇,5195 / A2 北村 寧々 長崎/長崎 24歳/47.0kg,31.58,52.63,-,47.0
2026-07-23,福岡,第5R,6号艇,5199 / B1 垂水 悠 徳島/徳島 24歳/55.5kg,50.00,70.83,-,55.5
2026-07-23,福岡,第6R,5号艇,5222 / A1 津田 陸翔 広島/広島 25歳/52.0kg,41.56,62.34,-,52.0
2026-07-23,福岡,第6R,6号艇,5136 / A1 濱野 斗馬 香川/香川 26歳/52.5kg,33.33,44.87,-,52.5
2026-07-23,福岡,第6R,1号艇,4985 / A1 井本 昌也 山口/山口 29歳/52.0kg,35.90,53.85,-,52.0
2026-07-23,福岡,第7R,5号艇,5032 / A2 谷口 知優 香川/愛媛 28歳/52.0kg,39.47,52.63,-,52.0
2026-07-23,福岡,第7R,1号艇,5016 / A1 宮田 龍馬 兵庫/兵庫 28歳/52.0kg,35.90,48.72,-,52.0
2026-07-23,福岡,第7R,2号艇,5158 / A1 宮脇 遼太 福岡/福岡 28歳/52.9kg,30.00,46.25,-,52.9
2026-07-23,福岡,第8R,6号艇,5238 / A2 笹木 香吾 山口/山口 26歳/52.6kg,36.99,58.90,-,52.6
2026-07-23,福岡,第8R,1号艇,5018 / A1 竹下 大樹 福岡/福岡 27歳/52.9kg,28.00,46.67,-,52.9
2026-07-23,福岡,第8R,2号艇,5028 / A1 原田 才一郎 福岡/福岡 29歳/52.0kg,37.68,57.97,-,52.0
2026-07-23,福岡,第8R,4号艇,5257 / A1 西丸 侑太朗 香川/香川 22歳/52.0kg,41.03,52.56,-,52.0
2026-07-23,福岡,第9R,2号艇,5188 / A2 武井 莉里佳 兵庫/兵庫 25歳/44.5kg,31.75,46.03,-,44.5
2026-07-23,福岡,第9R,4号艇,5189 / A2 藤原 早菜 岡山/岡山 25歳/45.5kg,32.43,51.35,-,45.5
2026-07-23,福岡,第9R,5号艇,4994 / A2 山本 梨菜 佐賀/佐賀 28歳/47.0kg,30.14,52.05,-,47.0
2026-07-23,福岡,第9R,6号艇,5195 / A2 北村 寧々 長崎/長崎 24歳/47.0kg,31.58,52.63,-,47.0
2026-07-23,福岡,第10R,2号艇,5106 / A2 山崎 祥 山口/山口 27歳/52.0kg,31.65,46.84,-,52.0
2026-07-23,福岡,第10R,6号艇,5058 / A1 前原 大道 岡山/岡山 29歳/52.0kg,28.33,36.67,-,52.0
2026-07-23,福岡,第10R,3号艇,5299 / A2 西丸 敦基 香川/香川 23歳/52.0kg,34.25,54.79,-,52.0
2026-07-23,福岡,第11R,5号艇,5243 / B1 三馬 崇史 広島/広島 25歳/53.0kg,36.84,52.63,-,53.0
2026-07-23,福岡,第11R,4号艇,5060 / A2 数原 魁 兵庫/兵庫 29歳/52.0kg,31.58,51.32,-,52.0
2026-07-23,福岡,第11R,2号艇,5142 / A1 常住 蓮 佐賀/佐賀 25歳/51.5kg,31.65,54.43,-,51.5
2026-07-23,福岡,第11R,1号艇,5330 / A2 安河内鈴之介 福岡/福岡 22歳/52.0kg,44.44,52.78,-,52.0
2026-07-23,福岡,第11R,3号艇,5278 / A1 田中 駿兵 徳島/徳島 23歳/52.1kg,34.33,52.24,-,52.1
2026-07-23,福岡,第12R,1号艇,5281 / A1 井上 遥妃 徳島/徳島 23歳/45.5kg,46.34,65.85,-,45.5
2026-07-23,福岡,第12R,3号艇,4963 / A1 實森 美祐 広島/広島 29歳/45.5kg,41.98,58.02,-,45.5
2026-07-23,福岡,第12R,4号艇,5193 / A1 米丸 乃絵 福岡/熊本 24歳/46.5kg,52.78,69.44,-,46.5
2026-07-23,唐津,第1R,2号艇,5395 / B1 日高 龍之介 佐賀/宮崎 24歳/52.0kg,45.57,56.96,-,52.0
2026-07-23,唐津,第1R,5号艇,4092 / B1 岡部 大輔 佐賀/佐賀 45歳/52.0kg,34.09,46.59,-,52.0
2026-07-23,唐津,第1R,4号艇,3392 / B1 小森 信雄 三重/三重 60歳/51.5kg,40.70,55.81,-,51.5
2026-07-23,唐津,第1R,1号艇,5459 / B2 田中 きら 山口/山口 19歳/44.0kg,25.56,44.44,-,44.0
2026-07-23,唐津,第2R,3号艇,4072 / A1 森永 淳 佐賀/佐賀 45歳/52.0kg,28.57,50.65,-,52.0
2026-07-23,唐津,第2R,4号艇,5006 / B1 久保原 秀人 群馬/群馬 29歳/53.6kg,41.38,56.32,-,53.6
2026-07-23,唐津,第2R,1号艇,4648 / B1 木村 亮太 兵庫/大阪 42歳/52.0kg,31.33,51.81,-,52.0
2026-07-23,唐津,第3R,6号艇,5140 / B1 吉田 彩乃 静岡/静岡 25歳/46.5kg,37.21,66.28,-,46.5
2026-07-23,唐津,第3R,4号艇,4289 / A2 落合 直子 大阪/大阪 41歳/47.7kg,38.30,50.00,-,47.7
2026-07-23,唐津,第3R,1号艇,5397 / B2 寺田 夢生 山口/山口 24歳/45.5kg,25.00,40.22,-,45.5
2026-07-23,唐津,第3R,5号艇,5435 / B2 中西 月輝 広島/山口 21歳/50.3kg,46.25,60.00,-,50.3
2026-07-23,唐津,第4R,2号艇,4365 / A2 盛本 真輔 兵庫/兵庫 40歳/52.0kg,38.89,57.78,-,52.0
2026-07-23,唐津,第4R,6号艇,4368 / B1 山口 隆史 福岡/福岡 40歳/52.8kg,44.19,56.98,-,52.8
2026-07-23,唐津,第5R,5号艇,3370 / B1 坪内 実 大阪/大阪 59歳/52.0kg,36.96,54.35,-,52.0
2026-07-23,唐津,第5R,3号艇,4248 / B1 岡本 大 長崎/長崎 44歳/52.9kg,18.68,31.87,-,52.9
2026-07-23,唐津,第5R,4号艇,4909 / B1 薮内 瑞希 岡山/岡山 30歳/44.0kg,25.29,47.13,-,44.0
2026-07-23,唐津,第6R,5号艇,4460 / A2 後藤 翔之 東京/東京 40歳/54.4kg,39.51,61.73,-,54.4
2026-07-23,唐津,第6R,4号艇,4962 / A2 畑 竜生 三重/三重 29歳/52.0kg,31.11,55.56,-,52.0
2026-07-23,唐津,第6R,1号艇,5294 / B1 豊田 祥生 静岡/静岡 24歳/50.0kg,28.38,45.95,-,50.0
2026-07-23,唐津,第6R,6号艇,5395 / B1 日高 龍之介 佐賀/宮崎 24歳/52.0kg,45.57,56.96,-,52.0
2026-07-23,唐津,第7R,5号艇,4216 / B1 星 栄爾 静岡/福島 41歳/54.4kg,27.27,48.05,-,54.4
2026-07-23,唐津,第7R,4号艇,4633 / A2 森 智也 兵庫/兵庫 37歳/52.4kg,31.87,48.35,-,52.4
2026-07-23,唐津,第7R,3号艇,4254 / A2 川島 圭司 滋賀/滋賀 43歳/52.0kg,28.05,53.66,-,52.0
2026-07-23,唐津,第7R,6号艇,4343 / B1 村岡 賢 広島/広島 41歳/54.4kg,32.14,47.62,-,54.4
2026-07-23,唐津,第8R,4号艇,3392 / B1 小森 信雄 三重/三重 60歳/51.5kg,40.70,55.81,-,51.5
2026-07-23,唐津,第8R,1号艇,5140 / B1 吉田 彩乃 静岡/静岡 25歳/46.5kg,37.21,66.28,-,46.5
2026-07-23,唐津,第8R,2号艇,4497 / A1 桑原 悠 長崎/長崎 39歳/52.1kg,14.29,22.62,-,52.1
2026-07-23,唐津,第9R,3号艇,5267 / A1 石本 裕武 大阪/大阪 25歳/52.0kg,32.95,51.14,-,52.0
2026-07-23,唐津,第9R,2号艇,4648 / B1 木村 亮太 兵庫/大阪 42歳/52.0kg,31.33,51.81,-,52.0
2026-07-23,唐津,第9R,4号艇,4936 / A2 戸敷 晃美 福岡/宮崎 29歳/47.1kg,36.99,54.79,-,47.1
2026-07-23,唐津,第9R,6号艇,4362 / A1 土屋 智則 群馬/群馬 41歳/52.2kg,39.02,51.22,-,52.2
2026-07-23,唐津,第10R,6号艇,4218 / A1 吉川 喜継 滋賀/滋賀 44歳/51.5kg,36.36,56.82,-,51.5
2026-07-23,唐津,第10R,3号艇,3615 / B1 横田 茂 広島/広島 53歳/50.5kg,43.75,58.75,-,50.5
2026-07-23,唐津,第10R,1号艇,4460 / A2 後藤 翔之 東京/東京 40歳/54.4kg,39.51,61.73,-,54.4
2026-07-23,唐津,第10R,4号艇,4072 / A1 森永 淳 佐賀/佐賀 45歳/52.0kg,28.57,50.65,-,52.0
2026-07-23,唐津,第11R,6号艇,4962 / A2 畑 竜生 三重/三重 29歳/52.0kg,31.11,55.56,-,52.0
2026-07-23,唐津,第11R,1号艇,4950 / A1 高岡 竜也 山口/山口 33歳/52.0kg,30.49,47.56,-,52.0
2026-07-23,唐津,第11R,5号艇,4252 / B1 松下 哲也 福岡/福岡 43歳/52.0kg,21.59,45.45,-,52.0
2026-07-23,唐津,第12R,1号艇,4289 / A2 落合 直子 大阪/大阪 41歳/47.7kg,38.30,50.00,-,47.7
2026-07-23,唐津,第12R,5号艇,5015 / A1 高橋 竜矢 広島/広島 28歳/51.5kg,26.74,40.70,-,51.5
2026-07-23,唐津,第12R,2号艇,4216 / B1 星 栄爾 静岡/福島 41歳/54.4kg,27.27,48.05,-,54.4
2026-07-23,唐津,第12R,4号艇,4411 / A2 沢田 昭宏 大阪/大阪 40歳/53.4kg,35.48,51.61,-,53.4
2026-07-23,大村,第1R,4号艇,4053 / A2 芦澤 望 東京/千葉 48歳/56.9kg,48.48,63.64,-,56.9
2026-07-23,大村,第1R,6号艇,4475 / A1 末永 祐輝 山口/山口 38歳/52.0kg,28.13,50.00,-,52.0
2026-07-23,大村,第1R,5号艇,5384 / B2 八戸 琉楓 長崎/佐賀 21歳/52.0kg,28.00,40.00,-,52.0
2026-07-23,大村,第1R,3号艇,3313 / B1 本吉 正樹 東京/東京 60歳/54.4kg,14.71,35.29,-,54.4
2026-07-23,大村,第2R,6号艇,4977 / A2 馬野 耀 大阪/大阪 32歳/53.8kg,42.42,54.55,-,53.8
2026-07-23,大村,第2R,5号艇,5313 / B1 鈴木 唯央 群馬/群馬 25歳/52.0kg,25.00,38.89,-,52.0
2026-07-23,大村,第2R,2号艇,3945 / B1 橋口 真樹 愛知/愛知 50歳/52.0kg,31.25,40.63,-,52.0
2026-07-23,大村,第2R,1号艇,4025 / A1 山本 隆幸 兵庫/兵庫 48歳/52.6kg,24.24,54.55,-,52.6
2026-07-23,大村,第2R,4号艇,3888 / A2 山本 英志 東京/広島 51歳/51.0kg,25.00,38.89,-,51.0
2026-07-23,大村,第3R,6号艇,4518 / A1 大須賀 友 愛知/愛知 39歳/52.0kg,38.71,64.52,-,52.0
2026-07-23,大村,第3R,4号艇,5102 / B1 原田 雄次 福岡/福岡 28歳/52.0kg,45.16,67.74,-,52.0
2026-07-23,大村,第3R,5号艇,4437 / A2 中田 元泰 香川/香川 40歳/53.6kg,40.63,50.00,-,53.6
2026-07-23,大村,第3R,3号艇,3773 / B1 津留 浩一郎 長崎/長崎 52歳/55.1kg,33.33,54.55,-,55.1
2026-07-23,大村,第4R,6号艇,4821 / B1 妻鳥 晋也 香川/愛媛 34歳/55.6kg,36.11,50.00,-,55.6
2026-07-23,大村,第4R,3号艇,4808 / A2 松尾 拓 三重/三重 37歳/51.0kg,17.14,42.86,-,51.0
2026-07-23,大村,第4R,2号艇,3256 / A1 三角 哲男 東京/千葉 59歳/52.0kg,12.50,21.88,-,52.0
2026-07-23,大村,第4R,4号艇,4232 / B1 笠 雅雄 福岡/福岡 43歳/52.0kg,35.48,45.16,-,52.0
2026-07-23,大村,第5R,6号艇,5331 / B1 佐藤 永梧 東京/神奈川 22歳/53.8kg,36.11,50.00,-,53.8
2026-07-23,大村,第5R,3号艇,5345 / B1 牧村 俊輝 愛知/岐阜 23歳/52.5kg,9.09,27.27,-,52.5
2026-07-23,大村,第5R,2号艇,4171 / A2 榎 幸司 長崎/長崎 43歳/51.5kg,28.57,51.43,-,51.5
2026-07-23,大村,第6R,6号艇,4898 / B1 菊地 敬介 埼玉/埼玉 34歳/54.2kg,17.65,38.24,-,54.2
2026-07-23,大村,第6R,5号艇,4305 / A1 金子 拓矢 群馬/栃木 42歳/52.0kg,15.63,37.50,-,52.0
2026-07-23,大村,第6R,1号艇,4301 / B1 関 裕也 福岡/福岡 43歳/54.1kg,20.00,48.00,-,54.1
2026-07-23,大村,第6R,4号艇,4583 / B1 古田 祐貴 香川/香川 36歳/52.1kg,33.33,44.44,-,52.1
2026-07-23,大村,第6R,3号艇,5350 / B1 網代 良芽 兵庫/兵庫 22歳/52.0kg,39.39,54.55,-,52.0
2026-07-23,大村,第7R,4号艇,4981 / B1 牧山 敦也 佐賀/佐賀 29歳/52.2kg,38.71,45.16,-,52.2
2026-07-23,大村,第7R,3号艇,5261 / B1 岡 暢祐 長崎/大分 28歳/52.0kg,25.00,44.44,-,52.0
2026-07-23,大村,第7R,6号艇,4675 / A2 井手 良太 大阪/大阪 38歳/52.0kg,33.33,52.78,-,52.0
2026-07-23,大村,第7R,1号艇,5333 / B2 山下 智己 兵庫/兵庫 22歳/51.0kg,48.39,54.84,-,51.0
2026-07-23,大村,第8R,4号艇,4803 / B1 飯田 庄吾 福岡/福岡 32歳/57.3kg,27.78,50.00,-,57.3
2026-07-23,大村,第8R,5号艇,5384 / B2 八戸 琉楓 長崎/佐賀 21歳/52.0kg,28.00,40.00,-,52.0
2026-07-23,大村,第8R,1号艇,5176 / B2 石倉 拓美 山口/島根 33歳/52.0kg,37.14,51.43,-,52.0
2026-07-23,大村,第8R,2号艇,4753 / B2 森 照夫 福岡/福岡 38歳/53.1kg,30.56,47.22,-,53.1
2026-07-23,大村,第9R,6号艇,5130 / B1 上野 拓馬 三重/三重 28歳/52.1kg,31.25,50.00,-,52.1
2026-07-23,大村,第9R,1号艇,4679 / A2 植田 太一 福岡/福岡 37歳/56.5kg,34.29,60.00,-,56.5
2026-07-23,大村,第10R,6号艇,4357 / A1 田中 和也 大阪/大阪 42歳/52.0kg,10.81,21.62,-,52.0
2026-07-23,大村,第10R,1号艇,3888 / A2 山本 英志 東京/広島 51歳/51.0kg,25.00,38.89,-,51.0
2026-07-23,大村,第10R,5号艇,4329 / B1 小松 卓司 福岡/福岡 43歳/52.0kg,48.48,72.73,-,52.0
2026-07-23,大村,第10R,3号艇,3567 / B1 吉岡 誠 山口/山口 55歳/55.4kg,29.41,44.12,-,55.4
2026-07-23,大村,第11R,6号艇,5111 / A2 三村 岳人 岡山/岡山 26歳/51.5kg,50.00,62.50,-,51.5
2026-07-23,大村,第11R,3号艇,4684 / B1 楠原 翔太 福岡/福岡 35歳/53.5kg,27.27,45.45,-,53.5
2026-07-23,大村,第11R,2号艇,4475 / A1 末永 祐輝 山口/山口 38歳/52.0kg,28.13,50.00,-,52.0
2026-07-23,大村,第11R,5号艇,5313 / B1 鈴木 唯央 群馬/群馬 25歳/52.0kg,25.00,38.89,-,52.0
2026-07-23,大村,第12R,4号艇,5333 / B2 山下 智己 兵庫/兵庫 22歳/51.0kg,48.39,54.84,-,51.0
2026-07-23,大村,第12R,3号艇,4977 / A2 馬野 耀 大阪/大阪 32歳/53.8kg,42.42,54.55,-,53.8
2026-07-23,大村,第12R,5号艇,4305 / A1 金子 拓矢 群馬/栃木 42歳/52.0kg,15.63,37.50,-,52.0
2026-07-23,大村,第12R,1号艇,4808 / A2 松尾 拓 三重/三重 37歳/51.0kg,17.14,42.86,-,51.0
2026-07-23,大村,第12R,2号艇,4171 / A2 榎 幸司 長崎/長崎 43歳/51.5kg,28.57,51.43,-,51.5
